,time,energy_cashflow,energy_generation_costs,heat,power,simulation,soc,total_costs,unit
187,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Hohenwarte II
7,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,OCGT_04
185,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Witznau
183,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Erzhausen
9,2013-01-22 01:00:00.000000,,14996.926324216032,0.0,156.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,OCGT_05
181,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Waldshut
179,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Langenprozelten
11,2013-01-22 01:00:00.000000,,62392.80765335312,0.0,681.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,OCGT_06
177,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Happurg
175,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Koepchenwerk Herdecke II
13,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,OCGT_07
173,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Häusern
171,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Waldeck I
15,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,OCGT_08
169,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Rönkhausen
167,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Geesthacht
165,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Reisach - Rabenleite
143,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,battery_06_0
21,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_02
141,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,battery_04_2
49,2013-01-22 01:00:00.000000,,859732.473968912,0.0,8882.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,OCGT_01_2
99,2013-01-22 01:00:00.000000,,5.0951775,0.0,339.67850000000004,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,wind_onshore_03_1
97,2013-01-22 01:00:00.000000,,5.0951775,0.0,339.67850000000004,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,wind_onshore_03_0
