name,bus0,bus1,voltage,i_nom,circuits,s_nom,r,x,b,length
merged_way/207578308-220+3,DE145-220,DE148-220,220,1.29,2,983.112,0.447994,2.247435,0.00011728,14933.12
merged_way/208256287-1-380+2,way/29331499-380,way/27149550-380,380,2.58,1,1698.103,2.045603,16.773941,0.00029562,68186.75
merged_way/208256287-2-220+2,way/29331499-220,way/27149550-220,220,1.29,1,491.556,4.087918,20.507723,0.00026755,68131.97
merged_way/216987765-1-380+7,way/63114179-380,way/68549340-380,380,2.58,1,1698.103,0.356664,2.924645,5.15E-05,11888.8
merged_way/216987765-2-220+1,way/63114179-220,DE98-220,220,1.29,1,491.556,0.304006,1.525095,1.99E-05,5066.76
merged_way/219514833-380+1,way/26260052-380,DE195-380,380,2.58,2,3396.205,0.026792,0.219695,1.55E-05,1786.14
merged_way/219919304-220+2,way/29077623-220,way/23022100-220,220,1.29,2,983.112,0.262905,1.318905,6.88E-05,8763.49
merged_way/224460993-1-220+3,way/25786404-220,way/97825259-220,220,1.29,2,983.112,0.106394,0.533742,2.79E-05,3546.46
merged_way/22766290-1-380+3,way/23084554-380,way/22765517-380,380,2.58,1,1698.103,0.373654,3.063964,5.40E-05,12455.14
merged_way/22766290-2-220+3,way/23084554-220,way/22765517-220,220,1.29,1,491.556,0.746991,3.747405,4.89E-05,12449.85
merged_way/231741801-1-380+2,way/143903369-380,way/1327333163-380,380,2.58,1,1698.103,0.555714,4.556855,8.03E-05,18523.8
merged_way/231741801-2-220+1,DE179-220,way/1327333163-220,220,1.29,1,491.556,1.261735,6.329705,8.26E-05,21028.92
merged_way/233500126-1-380+2,way/27149550-380,DE25-380,380,2.58,1,1698.103,0.136047,1.115583,1.97E-05,4534.89
merged_way/23382106-380+1,way/97825259-380,DE191-380,380,2.58,2,3396.205,0.189147,1.551008,0.00010934,12609.82
merged_way/23598077-220+3,way/29331499-220,way/22973052-220,220,1.29,2,983.112,1.154892,5.79371,0.00030235,38496.41
merged_way/240543053-1-380-a+5,way/31367940-380,way/25306752-380,380,2.58,1,1698.103,3.377242,27.693381,0.00048806,112574.72
merged_way/240543053-2-220-a+1,way/31367940-220,way/25306752-220,220,1.29,1,491.556,6.753882,33.881975,0.00044204,112564.7
merged_way/241626236-220+2,DE64-220,way/42507488-220,220,1.29,1,491.556,0.096799,0.485606,6.34E-06,1613.31
merged_way/243146012-1-380+1,way/11285720-380,DE12-380,380,2.58,2,3396.205,0.05333,0.437306,3.08E-05,3555.33
merged_way/24428845-1-380+1,DE124-380,way/22761839-380,380,2.58,2,3396.205,0.110377,0.905093,6.38E-05,7358.48
