datetime,uranium,lignite,hard coal,natural gas,oil,co2
2020-01-03 20:30:00,0.9,1.8,7.599209612,12.78427083,36.20382424,25.33
2020-01-03 20:45:00,0.9,1.8,7.59921315,12.78182292,36.20386212,25.33
2020-01-03 21:00:00,0.9,1.8,7.599216688,12.779375,36.20390001,25.33
2020-01-03 21:15:00,0.9,1.8,7.599220225,12.77692708,36.20393789,25.33
2020-01-03 21:30:00,0.9,1.8,7.599223763,12.77447917,36.20397577,25.33
2020-01-03 21:45:00,0.9,1.8,7.599227301,12.77203125,36.20401365,25.33
2020-01-03 22:00:00,0.9,1.8,7.599230838,12.76958333,36.20405153,25.33
2020-01-03 22:15:00,0.9,1.8,7.599234376,12.76713542,36.20408942,25.33
2020-01-03 22:30:00,0.9,1.8,7.599237914,12.7646875,36.2041273,25.33
2020-01-03 22:45:00,0.9,1.8,7.599241451,12.76223958,36.20416518,25.33
2020-01-03 23:00:00,0.9,1.8,7.599244989,12.75979167,36.20420306,25.33
2020-01-03 23:15:00,0.9,1.8,7.599248527,12.75734375,36.20424094,25.33
2020-01-03 23:30:00,0.9,1.8,7.599252064,12.75489583,36.20427882,25.33
2020-01-03 23:45:00,0.9,1.8,7.599255602,12.75244792,36.20431671,25.33
2020-01-04 00:00:00,0.9,1.8,7.599259139,12.75,36.20435459,25.33
2020-01-04 00:15:00,0.9,1.8,7.599262677,12.74755208,36.20439247,25.33
2020-01-04 00:30:00,0.9,1.8,7.599266215,12.74510417,36.20443035,25.33
2020-01-04 00:45:00,0.9,1.8,7.599269752,12.74265625,36.20446823,25.33
2020-01-04 01:00:00,0.9,1.8,7.59927329,12.74020833,36.20450612,25.33
2020-01-04 01:15:00,0.9,1.8,7.599276828,12.73776042,36.204544,25.33
2020-01-04 01:30:00,0.9,1.8,7.599280365,12.7353125,36.20458188,25.33
2020-01-04 01:45:00,0.9,1.8,7.599283903,12.73286458,36.20461976,25.33
2020-01-04 02:00:00,0.9,1.8,7.599287441,12.73041667,36.20465764,25.33
2020-01-04 02:15:00,0.9,1.8,7.599290978,12.72796875,36.20469552,25.33
2020-01-04 02:30:00,0.9,1.8,7.599294516,12.72552083,36.20473341,25.33
2020-01-04 02:45:00,0.9,1.8,7.599298054,12.72307292,36.20477129,25.33
2020-01-04 03:00:00,0.9,1.8,7.599301591,12.720625,36.20480917,25.33
2020-01-04 03:15:00,0.9,1.8,7.599305129,12.71817708,36.20484705,25.33
2020-01-04 03:30:00,0.9,1.8,7.599308666,12.71572917,36.20488493,25.33
2020-01-04 03:45:00,0.9,1.8,7.599312204,12.71328125,36.20492282,25.33
2020-01-04 04:00:00,0.9,1.8,7.599315742,12.71083333,36.2049607,25.33
2020-01-04 04:15:00,0.9,1.8,7.599319279,12.70838542,36.20499858,25.33
2020-01-04 04:30:00,0.9,1.8,7.599322817,12.7059375,36.20503646,25.33
2020-01-04 04:45:00,0.9,1.8,7.599326355,12.70348958,36.20507434,25.33
2020-01-04 05:00:00,0.9,1.8,7.599329892,12.70104167,36.20511222,25.33
2020-01-04 05:15:00,0.9,1.8,7.59933343,12.69859375,36.20515011,25.33
2020-01-04 05:30:00,0.9,1.8,7.599336968,12.69614583,36.20518799,25.33
2020-01-04 05:45:00,0.9,1.8,7.599340505,12.69369792,36.20522587,25.33
2020-01-04 06:00:00,0.9,1.8,7.599344043,12.69125,36.20526375,25.33
2020-01-04 06:15:00,0.9,1.8,7.59934758,12.68880208,36.20530163,25.33
2020-01-04 06:30:00,0.9,1.8,7.599351118,12.68635417,36.20533952,25.33
2020-01-04 06:45:00,0.9,1.8,7.599354656,12.68390625,36.2053774,25.33
2020-01-04 07:00:00,0.9,1.8,7.599358193,12.68145833,36.20541528,25.33
2020-01-04 07:15:00,0.9,1.8,7.599361731,12.67901042,36.20545316,25.33
2020-01-04 07:30:00,0.9,1.8,7.599365269,12.6765625,36.20549104,25.33
2020-01-04 07:45:00,0.9,1.8,7.599368806,12.67411458,36.20552893,25.33
2020-01-04 08:00:00,0.9,1.8,7.599372344,12.67166667,36.20556681,25.33
2020-01-04 08:15:00,0.9,1.8,7.599375882,12.66921875,36.20560469,25.33
2020-01-04 08:30:00,0.9,1.8,7.599379419,12.66677083,36.20564257,25.33
2020-01-04 08:45:00,0.9,1.8,7.599382957,12.66432292,36.20568045,25.33
2020-01-04 09:00:00,0.9,1.8,7.599386495,12.661875,36.20571833,25.33
2020-01-04 09:15:00,0.9,1.8,7.599390032,12.65942708,36.20575622,25.33
