datetime,demand_CRM_pos,demand_CRM_neg,demand_EOM_north,demand_EOM_east,demand_EOM_west,demand_EOM_south
2019-01-02 07:45:00,2756,2827,9549.44,9549.44,22679.920000000002,17905.2
2019-01-02 08:00:00,2756,2827,9740.800000000001,9740.800000000001,23134.4,18264.0
2019-01-02 08:15:00,2756,2827,9780.48,9780.48,23228.64,18338.399999999998
2019-01-02 08:30:00,2756,2827,9889.92,9889.92,23488.56,18543.6
2019-01-02 08:45:00,2756,2827,9957.76,9957.76,23649.68,18670.8
2019-01-02 09:00:00,2756,2827,10067.84,10067.84,23911.12,18877.2
2019-01-02 09:15:00,2756,2827,10094.72,10094.72,23974.96,18927.6
2019-01-02 09:30:00,2756,2827,10186.880000000001,10186.880000000001,24193.84,19100.399999999998
2019-01-02 09:45:00,2756,2827,10245.76,10245.76,24333.68,19210.8
2019-01-02 10:00:00,2756,2827,10281.6,10281.6,24418.8,19278.0
2019-01-02 10:15:00,2756,2827,10286.08,10286.08,24429.44,19286.399999999998
2019-01-02 10:30:00,2756,2827,10329.6,10329.6,24532.8,19368.0
2019-01-02 10:45:00,2756,2827,10364.800000000001,10364.800000000001,24616.4,19434.0
2019-01-02 11:00:00,2756,2827,10423.04,10423.04,24754.72,19543.2
2019-01-02 11:15:00,2756,2827,10501.76,10501.76,24941.68,19690.8
2019-01-02 11:30:00,2756,2827,10593.28,10593.28,25159.04,19862.399999999998
2019-01-02 11:45:00,2756,2827,10588.16,10588.16,25146.88,19852.8
2019-01-02 12:00:00,2756,2827,10604.16,10604.16,25184.88,19882.8
2019-01-02 12:15:00,2756,2827,10574.72,10574.72,25114.96,19827.6
2019-01-02 12:30:00,2756,2827,10559.36,10559.36,25078.48,19798.8
2019-01-02 12:45:00,2756,2827,10533.76,10533.76,25017.68,19750.8
2019-01-02 13:00:00,2756,2827,10536.32,10536.32,25023.760000000002,19755.6
2019-01-02 13:15:00,2756,2827,10480.64,10480.64,24891.52,19651.2
2019-01-02 13:30:00,2756,2827,10449.28,10449.28,24817.040000000005,19592.4
2019-01-02 13:45:00,2756,2827,10336.64,10336.64,24549.52,19381.2
2019-01-02 14:00:00,2756,2827,10325.12,10325.12,24522.16,19359.6
2019-01-02 14:15:00,2756,2827,10281.6,10281.6,24418.8,19278.0
2019-01-02 14:30:00,2756,2827,10245.76,10245.76,24333.68,19210.8
