,power,unit,simulation
2019-01-03 06:00:00,0.0,IRSCHING 5,example_01b
2019-01-03 07:00:00,0.0,IRSCHING 5,example_01b
2019-01-03 06:00:00,-1471.9650349650349,demand_DE,example_01b
2019-01-03 07:00:00,-1471.9650349650349,demand_DE,example_01b
2019-01-03 07:00:00,1471.9650349650349,KKW ISAR 2,example_01b
2019-01-03 08:00:00,1461.972027972028,KKW ISAR 2,example_01b
2019-01-03 07:00:00,0.0,IRSCHING 5,example_01b
2019-01-03 08:00:00,0.0,IRSCHING 5,example_01b
2019-01-03 07:00:00,-1471.9650349650349,demand_DE,example_01b
2019-01-03 08:00:00,-1461.972027972028,demand_DE,example_01b
2019-01-03 08:00:00,1461.972027972028,KKW ISAR 2,example_01b
2019-01-03 09:00:00,1461.972027972028,KKW ISAR 2,example_01b
2019-01-03 08:00:00,0.0,IRSCHING 5,example_01b
2019-01-03 09:00:00,0.0,IRSCHING 5,example_01b
2019-01-03 08:00:00,-1461.972027972028,demand_DE,example_01b
2019-01-03 09:00:00,-1461.972027972028,demand_DE,example_01b
2019-01-03 05:00:00,0.0,NEURATH F,example_01b
2019-01-03 06:00:00,0.0,NEURATH F,example_01b
2019-01-03 07:00:00,0.0,NEURATH F,example_01b
2019-01-03 08:00:00,0.0,NEURATH F,example_01b
2019-01-03 09:00:00,0.0,NEURATH F,example_01b
2019-01-03 10:00:00,0.0,NEURATH F,example_01b
2019-01-03 09:00:00,1461.972027972028,KKW ISAR 2,example_01b
2019-01-03 10:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-03 09:00:00,0.0,IRSCHING 5,example_01b
2019-01-03 10:00:00,0.0,IRSCHING 5,example_01b
2019-01-03 09:00:00,-1461.972027972028,demand_DE,example_01b
2019-01-03 10:00:00,-1514.361111111111,demand_DE,example_01b
2019-01-03 10:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-03 11:00:00,1478.986013986014,KKW ISAR 2,example_01b
