,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
42,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603,0.603
43,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267,0.56267
44,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158,0.53158
45,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448,0.51448
46,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849,0.4849
47,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855,0.45855
48,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603,0.43603
49,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745,0.42745
50,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821,0.42821
51,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505,0.43505
