timestep,electricity_price_EUR_MWh,electricity_price_flex_EUR_MWh,pv_available_kW,pv_used_kW,pv_surplus_kW,pv_utilization_percent,battery_charge_kW,battery_discharge_kW,battery_soc_kWh,battery_soc_percent,battery_net_flow_kW,grid_import_kW,grid_feedin_kW,grid_net_flow_kW,charging_station_1_discharge_kW,charging_station_1_charge_kW,charging_station_2_discharge_kW,charging_station_2_charge_kW,total_cs_discharge_kW,total_cs_charge_kW,electric_vehicle_1_charge_kW,electric_vehicle_1_discharge_kW,electric_vehicle_1_soc_kWh,electric_vehicle_1_soc_percent,electric_vehicle_1_usage_kW,electric_vehicle_1_available,electric_vehicle_2_charge_kW,electric_vehicle_2_discharge_kW,electric_vehicle_2_soc_kWh,electric_vehicle_2_soc_percent,electric_vehicle_2_usage_kW,electric_vehicle_2_available,total_power_input_kW,total_power_output_kW,power_balance_check_kW,variable_cost_EUR,variable_revenue_EUR,net_income_EUR,input_from_pv_percent,input_from_grid_percent,input_from_battery_percent
47,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13652,68.26,0.004079999999999999,0,0.0,0.0,0.16331999999999997,81.65999999999998,0.004079999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1328,66.39999999999999,0.0037199999999999998,0,0.0,0.0,0.15959999999999996,79.79999999999998,0.0037199999999999998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12788,63.94,0.004919999999999999,0,0.0,0.0,0.15467999999999996,77.33999999999997,0.004919999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12296,61.480000000000004,0.004919999999999999,0,0.0,0.0,0.14975999999999995,74.87999999999997,0.004919999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11804,59.019999999999996,0.004919999999999999,0,0.0,0.0,0.14483999999999994,72.41999999999996,0.004919999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11336,56.68,0.004679999999999999,0,0.0,0.0,0.14015999999999995,70.07999999999997,0.004679999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10928,54.64,0.004079999999999999,0,0.0,0.0,0.13607999999999995,68.03999999999996,0.004079999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10928,54.64,0.0,1,0.0,0.0,0.13607999999999995,68.03999999999996,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10928,54.64,0.0,1,0.0,0.0,0.13607999999999995,68.03999999999996,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1046,52.29999999999999,0.004679999999999999,0,0.0,0.0,0.13139999999999996,65.69999999999997,0.004679999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
