EV_ID,Time_Step,Availability,Status,Assigned_Station,Charge_Power_kW,Discharge_Power_kW,Usage_Power_kW,SOC_kWh,SOC_Percentage,Max_Capacity_kWh,Net_Power_kW
electric_vehicle_2,52,0,Driving,,0.0,0.0,0.004679999999999999,0.14015999999999995,70.07999999999997,0.2,-0.004679999999999999
electric_vehicle_2,53,0,Driving,,0.0,0.0,0.004079999999999999,0.13607999999999995,68.03999999999996,0.2,-0.004079999999999999
electric_vehicle_2,54,1,Charging,charging_station_2,0.0,0.0,0.0,0.13607999999999995,68.03999999999996,0.2,0.0
electric_vehicle_2,55,1,Charging,charging_station_2,0.0,0.0,0.0,0.13607999999999995,68.03999999999996,0.2,0.0
electric_vehicle_2,56,0,Driving,,0.0,0.0,0.004679999999999999,0.13139999999999996,65.69999999999997,0.2,-0.004679999999999999
electric_vehicle_2,57,0,Driving,,0.0,0.0,0.0048,0.12659999999999996,63.299999999999976,0.2,-0.0048
electric_vehicle_2,58,0,Driving,,0.0,0.0,0.00456,0.12203999999999997,61.01999999999998,0.2,-0.00456
electric_vehicle_2,59,0,Driving,,0.0,0.0,0.004079999999999999,0.11795999999999997,58.979999999999976,0.2,-0.004079999999999999
electric_vehicle_2,60,0,Driving,,0.0,0.0,0.0037199999999999998,0.11423999999999997,57.11999999999998,0.2,-0.0037199999999999998
electric_vehicle_2,61,0,Driving,,0.0,0.0,0.004919999999999999,0.10931999999999997,54.65999999999999,0.2,-0.004919999999999999
electric_vehicle_2,62,0,Driving,,0.0,0.0,0.004919999999999999,0.10439999999999998,52.19999999999999,0.2,-0.004919999999999999
electric_vehicle_2,63,0,Driving,,0.0,0.0,0.004919999999999999,0.09947999999999999,49.73999999999999,0.2,-0.004919999999999999
electric_vehicle_2,64,0,Driving,,0.0,0.0,0.004679999999999999,0.09479999999999998,47.399999999999984,0.2,-0.004679999999999999
electric_vehicle_2,65,0,Driving,,0.0,0.0,0.004079999999999999,0.09071999999999998,45.35999999999999,0.2,-0.004079999999999999
electric_vehicle_2,66,1,Charging,charging_station_2,0.0,0.0,0.0,0.09071999999999998,45.35999999999999,0.2,0.0
electric_vehicle_2,67,1,Charging,charging_station_1,0.0,0.0,0.0,0.09071999999999998,45.35999999999999,0.2,0.0
electric_vehicle_2,68,0,Driving,,0.0,0.0,0.004679999999999999,0.08603999999999998,43.01999999999999,0.2,-0.004679999999999999
electric_vehicle_2,69,0,Driving,,0.0,0.0,0.0048,0.08123999999999998,40.61999999999999,0.2,-0.0048
electric_vehicle_2,70,0,Driving,,0.0,0.0,0.00456,0.07667999999999998,38.33999999999999,0.2,-0.00456
electric_vehicle_2,71,0,Driving,,0.0,0.0,0.004079999999999999,0.07259999999999998,36.29999999999999,0.2,-0.004079999999999999
electric_vehicle_2,72,0,Driving,,0.0,0.0,0.0037199999999999998,0.06887999999999998,34.43999999999999,0.2,-0.0037199999999999998
electric_vehicle_2,73,0,Driving,,0.0,0.0,0.004919999999999999,0.06395999999999999,31.979999999999993,0.2,-0.004919999999999999
electric_vehicle_2,74,0,Driving,,0.0,0.0,0.004919999999999999,0.059039999999999995,29.519999999999996,0.2,-0.004919999999999999
electric_vehicle_2,75,0,Driving,,0.0,0.0,0.004919999999999999,0.054119999999999994,27.059999999999995,0.2,-0.004919999999999999
electric_vehicle_2,76,0,Driving,,0.0,0.0,0.004679999999999999,0.04944,24.72,0.2,-0.004679999999999999
electric_vehicle_2,77,0,Driving,,0.0,0.0,0.004079999999999999,0.04536,22.679999999999996,0.2,-0.004079999999999999
electric_vehicle_2,78,1,Charging,charging_station_2,0.0,0.0,0.0,0.04536,22.679999999999996,0.2,0.0
electric_vehicle_2,79,1,Charging,charging_station_2,0.0,0.0,0.0,0.04536,22.679999999999996,0.2,0.0
electric_vehicle_2,80,0,Driving,,0.0,0.0,0.004679999999999999,0.04068,20.34,0.2,-0.004679999999999999
electric_vehicle_2,81,0,Driving,,0.0,0.0,0.0048,0.03588,17.94,0.2,-0.0048
electric_vehicle_2,82,0,Driving,,0.0,0.0,0.00456,0.03132,15.659999999999998,0.2,-0.00456
electric_vehicle_2,83,0,Driving,,0.0,0.0,0.004079999999999999,0.02724,13.62,0.2,-0.004079999999999999
electric_vehicle_2,84,0,Driving,,0.0,0.0,0.0037199999999999998,0.02352,11.76,0.2,-0.0037199999999999998
electric_vehicle_2,85,0,Driving,,0.0,0.0,0.004919999999999999,0.0186,9.299999999999999,0.2,-0.004919999999999999
electric_vehicle_2,86,0,Driving,,0.0,0.0,0.004919999999999999,0.013679999999999998,6.839999999999999,0.2,-0.004919999999999999
electric_vehicle_2,87,0,Driving,,0.0,0.0,0.004919999999999999,0.008759999999999999,4.379999999999999,0.2,-0.004919999999999999
electric_vehicle_2,88,0,Driving,,0.0,0.0,0.004679999999999999,0.004079999999999999,2.0399999999999996,0.2,-0.004679999999999999
electric_vehicle_2,89,0,Driving,,0.0,0.0,0.004079999999999999,0.0,0.0,0.2,-0.004079999999999999
electric_vehicle_2,90,1,Charging,charging_station_2,0.03,0.0,0.0,0.03,15.0,0.2,0.03
electric_vehicle_2,91,1,Charging,charging_station_1,0.06,0.0,0.0,0.09,44.99999999999999,0.2,0.06
electric_vehicle_2,92,1,Charging,charging_station_1,0.03,0.0,0.0,0.12,60.0,0.2,0.03
electric_vehicle_2,93,1,Charging,charging_station_1,0.0,0.0,0.0,0.12,60.0,0.2,0.0
electric_vehicle_2,94,1,Charging,charging_station_1,0.0,0.01666666666666667,0.0,0.10333333333333333,51.66666666666666,0.2,-0.01666666666666667
electric_vehicle_2,95,1,Charging,charging_station_2,0.0,0.04666666666666667,0.0,0.05666666666666666,28.33333333333333,0.2,-0.04666666666666667
electric_vehicle_2,96,1,Charging,charging_station_1,0.0,0.05666666666666666,0.0,0.0,0.0,0.2,-0.05666666666666666
