variable,ident,value,simulation
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_17
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,1496.1,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_18
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,0,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_18
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,-3.6087e+08,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_18
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,118.17,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_18
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,-500,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_18
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_18
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,2045.6,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_19
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,1.0915e+06,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_19
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,9.113e+08,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_19
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,176.64,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_19
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,-11.86,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_19
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_19
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,2016.3,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_20
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,8.9767e+05,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_20
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,8.0677e+08,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_20
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,184.42,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_20
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,-114.77,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_20
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_20
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,6455.2,future_markets_paper_base_case_2013_pp_all_kurz_43_eval_episode_1
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,1.776e+07,future_markets_paper_base_case_2013_pp_all_kurz_43_eval_episode_1
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,2.5327e+09,future_markets_paper_base_case_2013_pp_all_kurz_43_eval_episode_1
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,182.8,future_markets_paper_base_case_2013_pp_all_kurz_43_eval_episode_1
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,-478.21,future_markets_paper_base_case_2013_pp_all_kurz_43_eval_episode_1
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_eval_episode_1
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,1981.5,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_21
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,8.1436e+06,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_21
