name,capacity,technology,bidding_EOM,bidding_redispatch,max_power_charge,max_power_discharge,efficiency_charge,efficiency_discharge,min_soc,max_soc,variable_cost_charge,variable_cost_discharge,additional_cost_charge,additional_cost_discharge,natural_inflow,unit_operator,node
SEE924266023187,10,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,10,9,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_112,way/23161029-220
SEE959140088693,2.608,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2.608,2.3472,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_113,way/23161029-220
SEE929559458868,1.6,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,1.6,1.44,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_114,way/942771541-380
SEE969167514532,12,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,12,10.8,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_115,way/442199284-380
SEE946541217135,1.525,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,1.525,1.3725,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_116,way/941805476-380
SEE908462002313,3.6,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.6,3.24,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_117,way/942771541-380
SEE931375347240,10.9584,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,10.9584,9.86256,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_118,way/948341123-380
SEE923253387301,1.068,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,1.068,0.9612,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_119,way/143882655-220
SEE977720016904,10,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,10,9,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_120,way/157164284-220
SEE982806373970,10.23,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,10.23,9.207,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_121,way/948341123-380
SEE954649497618,67,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,67,60.3,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_122,way/948341123-380
SEE973995346647,1.5552,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,1.5552,1.39968,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_123,way/156673637-220
SEE983340579781,13.90752,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,13.90752,12.516768,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_124,way/25746125-380
SEE989457180636,13.90752,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,13.90752,12.516768,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_125,way/25746125-380
SEE919868593923,4.644,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,4.644,4.1796,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_126,way/24757392-380
SEE930847992643,13.416,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,13.416,12.0744,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_127,way/149256409-380
SEE980302059541,3.84,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.84,3.456,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_128,way/157164284-220
SEE910188016772,2,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2,1.8,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_129,way/148211527-380
SEE943208281096,1.507,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,1.507,1.3563,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_130,way/76246159-380
SEE961724289518,4.5,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,4.5,4.05,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_131,way/108797675-380
SEE955166555447,2.2,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2.2,1.98,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_132,way/148446247-380
SEE900291433160,8.536,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,8.536,7.6824,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_133,way/57727004-220
SEE949148866799,1.37,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,1.37,1.233,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_134,way/24705761-220
SEE905242636829,1.23,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,1.23,1.107,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_135,way/5404079-380
SEE993997172082,2.5,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2.5,2.25,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_136,way/31653753-380
SEE963007921467,1.25,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,1.25,1.125,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_137,way/57727004-220
SEE950941730194,1.263,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,1.263,1.1367,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_138,way/24758329-380
SEE954562561007,5.76,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,5.76,5.184,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_139,way/24758329-380
SEE952317222654,3.444,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.444,3.0996,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_140,way/53378027-380
SEE958252031641,3.44448,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.44448,3.100032,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_141,way/148446247-380
SEE920612166553,3.4596,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.4596,3.11364,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_142,way/24759324-220
SEE930716288624,3.4596,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.4596,3.11364,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_143,way/24759324-220
