name,technology,bidding_EOM,bidding_redispatch,max_power_charge,max_power_discharge,efficiency_charge,efficiency_discharge,min_soc,max_soc,additional_cost_charge,additional_cost_discharge,natural_inflow,unit_operator,node
battery_li_ion131,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,6.257251,6.257251,0.95,0.95,1,11.709065,0.28,0.28,0,battery_operator_131,DE99-380
battery_li_ion132,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,9.311942,9.311942,0.95,0.95,1,14.566012,0.28,0.28,0,battery_operator_132,relation/17591073-220
battery_li_ion133,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,19.33161,19.33161,0.95,0.95,1,28.774866,0.28,0.28,0,battery_operator_133,way/1024536785-380
battery_li_ion134,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,15.496071,15.496071,0.95,0.95,1,26.535716,0.28,0.28,0,battery_operator_134,way/102743264-220
battery_li_ion135,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2.810963,2.810963,0.95,0.95,1,5.644622,0.28,0.28,0,battery_operator_135,way/1040551074-220
battery_li_ion136,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,13.597446,13.597446,0.95,0.95,1,22.698142,0.28,0.28,0,battery_operator_136,way/106096507-380
battery_li_ion137,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,21.743125,21.743125,0.95,0.95,1,36.087421,0.28,0.28,0,battery_operator_137,way/1068350839-380
battery_li_ion138,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,26.185158,26.185158,0.95,0.95,1,35.865879,0.28,0.28,0,battery_operator_138,way/1071504343-380
battery_li_ion139,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,9.511898,9.511898,0.95,0.95,1,15.697806,0.28,0.28,0,battery_operator_139,way/1072574879-380
battery_li_ion140,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,15.691569999999999,15.691569999999999,0.95,0.95,1,16.01061,0.28,0.28,0,battery_operator_140,way/1076001174-220
battery_li_ion141,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,4.866835,4.866835,0.95,0.95,1,7.9885150000000005,0.28,0.28,0,battery_operator_141,way/1076001174-380
battery_li_ion142,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,36.518787,36.518787,0.95,0.95,1,55.188753,0.28,0.28,0,battery_operator_142,way/1081302145-220
battery_li_ion143,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,10.237169,10.237169,0.95,0.95,1,26.461741,0.28,0.28,0,battery_operator_143,way/1086825107-220
battery_li_ion144,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.08069,3.08069,0.95,0.95,1,5.016802,0.28,0.28,0,battery_operator_144,way/1086825107-380
battery_li_ion145,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,36.871526,36.871526,0.95,0.95,1,44.851857,0.28,0.28,0,battery_operator_145,way/108797675-380
battery_li_ion146,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,24.212792,24.212792,0.95,0.95,1,41.243747,0.28,0.28,0,battery_operator_146,way/1089911133-380
battery_li_ion147,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,6.060644,6.060644,0.95,0.95,1,9.61942,0.28,0.28,0,battery_operator_147,way/1091984573-220
battery_li_ion148,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,4.443237,4.443237,0.95,0.95,1,7.149494,0.28,0.28,0,battery_operator_148,way/1091984573-380
battery_li_ion149,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,15.531191,15.531191,0.95,0.95,1,30.292462,0.28,0.28,0,battery_operator_149,way/1093896544-380
battery_li_ion150,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,4.380385,4.380385,0.95,0.95,1,6.5341759999999995,0.28,0.28,0,battery_operator_150,way/1094015892-220
battery_li_ion151,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,4.1308869999999995,4.1308869999999995,0.95,0.95,1,6.271034,0.28,0.28,0,battery_operator_151,way/1094015892-380
battery_li_ion152,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,51.715918,51.715918,0.95,0.95,1,74.210564,0.28,0.28,0,battery_operator_152,way/109917397-380
battery_li_ion153,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,4.271519,4.271519,0.95,0.95,1,6.876277,0.28,0.28,0,battery_operator_153,way/1102237380-220
battery_li_ion154,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,6.855134,6.855134,0.95,0.95,1,15.180047,0.28,0.28,0,battery_operator_154,way/1102237380-380
battery_li_ion155,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,19.563114000000002,19.563114000000002,0.95,0.95,1,38.206279,0.28,0.28,0,battery_operator_155,way/1104947187-380
battery_li_ion156,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,4.695079,4.695079,0.95,0.95,1,7.142557,0.28,0.28,0,battery_operator_156,way/1107961833-380
battery_li_ion157,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,6.039395,6.039395,0.95,0.95,1,9.563486999999999,0.28,0.28,0,battery_operator_157,way/111973179-220
battery_li_ion158,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,148.982144,148.982144,0.95,0.95,1,164.41426199999998,0.28,0.28,0,battery_operator_158,way/112695048-380
battery_li_ion159,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,8.302054,8.302054,0.95,0.95,1,13.845657,0.28,0.28,0,battery_operator_159,way/1128250707-220
battery_li_ion160,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,25.555598,25.555598,0.95,0.95,1,51.41764,0.28,0.28,0,battery_operator_160,way/1128250707-380
battery_li_ion161,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,23.977536,23.977536,0.95,0.95,1,39.172538,0.28,0.28,0,battery_operator_161,way/11285720-380
battery_li_ion162,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,13.064587999999999,13.064587999999999,0.95,0.95,1,20.755478,0.28,0.28,0,battery_operator_162,way/114319248-380
battery_li_ion163,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,9.365435999999999,9.365435999999999,0.95,0.95,1,17.56013,0.28,0.28,0,battery_operator_163,way/11500045-380
battery_li_ion164,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,28.201365,28.201365,0.95,0.95,1,45.149393,0.28,0.28,0,battery_operator_164,way/1191459479-220
battery_li_ion165,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2.31968,2.31968,0.95,0.95,1,5.629373999999999,0.28,0.28,0,battery_operator_165,way/1222597066-220
battery_li_ion166,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,4.143204,4.143204,0.95,0.95,1,6.56983,0.28,0.28,0,battery_operator_166,way/1222597066-380
battery_li_ion167,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,12.849796000000001,12.849796000000001,0.95,0.95,1,18.597079,0.28,0.28,0,battery_operator_167,way/1223405794-220
battery_li_ion168,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,5.095119,5.095119,0.95,0.95,1,7.588958,0.28,0.28,0,battery_operator_168,way/1223405794-380
battery_li_ion169,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,9.599871,9.599871,0.95,0.95,1,14.993746,0.28,0.28,0,battery_operator_169,way/1245826064-380
battery_li_ion170,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,6.033049,6.033049,0.95,0.95,1,9.696246,0.28,0.28,0,battery_operator_170,way/1245867884-380
battery_li_ion171,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,16.479097,16.479097,0.95,0.95,1,8.87294,0.28,0.28,0,battery_operator_171,way/1280364401-380
battery_li_ion172,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,23.352327,23.352327,0.95,0.95,1,37.584481,0.28,0.28,0,battery_operator_172,way/1280840211-380
battery_li_ion173,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.743257,3.743257,0.95,0.95,1,6.3878260000000004,0.28,0.28,0,battery_operator_173,way/1303270458-220
battery_li_ion174,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,5.660076,5.660076,0.95,0.95,1,9.401757,0.28,0.28,0,battery_operator_174,way/1327333163-220
battery_li_ion175,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,8.381605,8.381605,0.95,0.95,1,15.189454999999999,0.28,0.28,0,battery_operator_175,way/132814303-220
