name,technology,bidding_EOM,bidding_nodal,bidding_DAM,bidding_redispatch,fuel_type,emission_factor,max_power,min_power,efficiency,additional_cost,node,unit_operator,operating_type
Unit_707,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,330.4540872,0,1,0,204,operator_707,Market
Unit_708,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,59.47677958,0,1,0,204,operator_708,Market
Unit_709,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,19.25097302,0,1,0,205,operator_709,Market
Unit_710,hydro,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,6.375742373,0,1,0,205,operator_710,Market
Unit_711,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,35.04251746,0,1,0,205,operator_711,Market
Unit_712,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,21.30441622,0,1,0,205,operator_712,Market
Unit_713,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,36.90855964,0,1,0,209,operator_713,Market
Unit_714,hydro,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,4.6080294,0,1,0,209,operator_714,Market
Unit_715,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,324.6652637,0,1,0,209,operator_715,Market
Unit_716,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,70.3848748,0,1,0,209,operator_716,Market
Unit_717,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,38.8049147,0,1,0,210,operator_717,Market
Unit_718,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,87.23488436,0,1,0,210,operator_718,Market
Unit_719,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,171.2144694,0,1,0,210,operator_719,Market
Unit_720,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,18.16419162,0,1,0,211,operator_720,Market
Unit_721,hydro,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,1.373330525,0,1,0,211,operator_721,Market
Unit_722,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,197.2738812,0,1,0,211,operator_722,Market
Unit_723,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,165.815935,0,1,0,211,operator_723,Market
Unit_724,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,3.384566259,0,1,0,213,operator_724,Market
Unit_725,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,29.57418358,0,1,0,213,operator_725,Market
Unit_726,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,62.52713609,0,1,0,215,operator_726,Market
Unit_727,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,30.31177116,0,1,0,216,operator_727,Market
Unit_728,hydro,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,17.20635946,0,1,0,216,operator_728,Market
Unit_729,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,288.483489,0,1,0,216,operator_729,Market
Unit_730,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,3.264625381,0,1,0,216,operator_730,Market
Unit_731,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,5.794962177,0,1,0,217,operator_731,Market
Unit_732,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,48.65544006,0,1,0,217,operator_732,Market
Unit_733,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,10.37614379,0,1,0,217,operator_733,Market
Unit_734,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,56.02372421,0,1,0,219,operator_734,Market
Unit_735,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,278.5266187,0,1,0,219,operator_735,Market
Unit_736,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,49.89505985,0,1,0,219,operator_736,Market
Unit_737,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,6.830994632,0,1,0,221,operator_737,Market
Unit_738,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,126.2462683,0,1,0,221,operator_738,Market
