name,bus0,bus1,s_nom,bus_id0,bus_id1
relation/1641463-380-a_relation/1641474-380-a_way/108526478-1-380,way/85523877-380,DE205-380,5094.309,127,722
way/125690613-220_way/125690616-220,DE206-220,way/81540198-220,1966.224,128,819
way/42387453-380,DE208-380,DE207-380,3396.205,129,130
merged_way/200460375-1-380+2_way/42389033-380,way/35954395-380,DE207-380,3396.206,129,592
merged_way/43575375-380+2,DE207-380,way/42736239-380,3396.205,129,632
way/76900159-1-380,DE209-380,DE208-380,1698.103,130,131
merged_way/87201062-380+2,way/42049947-380,DE209-380,1698.103,131,617
merged_way/62332171-380+3,DE209-380,way/50319857-380,3396.205,131,813
merged_way/51370887-220+6,DE22-220,DE21-220,983.112,132,136
merged_way/765260456-220+7,DE21-220,way/27149550-220,983.112,132,498
way/8017477-220,way/30309989-220,DE21-220,983.112,132,547
way/41642831-1-220,DE211-220,DE212-220,491.556,133,134
way/30859575-220,way/24237879-220,DE211-220,983.112,133,418
way/41931917-220,DE212-220,way/68532663-220,983.112,134,694
Planned_AC_380Daxlanden_Kuehmoos,way/152261133-220,DE213-380,1000,135,323
relation/3915993-380-b_way/1327051827-380,way/88916034-380,DE213-380,3396.206,135,738
relation/3915993-380-c_way/1327046560-380,DE213-380,way/50319857-380,3396.206,135,813
overlap_bus_correction15,DE22-220,DE22-380,2000,136,137
way/32950166-2-220,DE22-220,DE23-220,491.556,136,138
way/32950166-1-380,DE22-380,DE23-380,1698.103,137,139
way/617568394-380,way/518455594-380,DE22-380,3396.205,137,661
overlap_bus_correction16,DE23-220,DE23-380,2000,138,139
merged_way/998005837-2-220+1,DE23-220,DE24-220,491.556,138,140
way/257482750-220,DE23-220,way/940636813-220,983.112,138,757
way/998005837-1-380,DE23-380,DE24-380,1698.103,139,141
way/30151837-380,DE23-380,way/940636813-380,3396.205,139,758
overlap_bus_correction17,DE24-220,DE24-380,2000,140,141
way/34942575-220,DE27-220,DE24-220,983.112,140,144
way/729102365-380,DE24-380,DE26-380,3396.205,141,143
merged_way/30132577-1-380+2,way/26472665-380,DE25-380,1698.103,142,490
merged_way/233500126-1-380+2,way/27149550-380,DE25-380,1698.103,142,499
way/381739502-380,DE25-380,way/30132758-380,3396.205,142,544
way/74003846-380,DE26-380,DE27-380,6792.41,143,145
merged_way/74003850-380+2,way/170123812-380,DE26-380,3396.205,143,353
overlap_bus_correction11,DE27-220,DE27-380,2000,144,145
way/1222462381-1-220,way/942448206-220,DE27-220,491.556,144,764
merged_way/74003877-380+1_way/40895968-380,DE27-380,way/942448206-380,6792.41,145,765
way/24604796-380,way/24604789-380,DE28-380,3396.205,146,442
Planned_HVDC_RheinMeinLink4_way/167609849-380,DE28-380,way/27739871-380,7094.308,146,509
Planned_HVDC_RheinMeinLink3_way/28051449-380,way/953015049-380,DE28-380,3698.103,146,780
merged_way/971780154-1-220-b+1,way/26472665-220,DE29-220,491.556,147,489
way/971780154-1-220-a,way/33169401-220,DE29-220,491.556,147,581
way/1205463623-220-a,way/1091984573-220,DE3-220,491.556,148,255
way/1131127616-2-220,DE30-220,DE32-220,491.556,149,152
merged_way/1131127616-1-380+1,DE33-380,DE30-380,1698.103,150,153
merged_way/760958089-1-380+1,way/32904794-380,DE30-380,3396.205,150,578
merged_way/733884560-380+2,way/953015049-380,DE30-380,1698.103,150,780
Planned_HVDC_NordSued_parellel_8,DE31-380,way/1280840211-380,2000,151,287
merged_way/61971060-1-380+6_relation/962120-380-a,DE31-380,way/206289192-380,3396.206,151,366
relation/962120-380-b,DE31-380,way/61918154-380,1698.103,151,686
Planned_HVDC_NordSued_parellel_7,way/796306640-380,DE31-380,2000,151,708
way/1131127625-380,DE33-380,DE34-380,6792.41,153,154
merged_way/1131127622-380+1,way/33411203-380,DE34-380,1698.103,154,584
merged_way/781370722-2-220+3,DE35-220,way/33411203-220,491.556,155,583
merged_way/781370722-1-380+1,DE35-380,way/33411203-380,1698.103,156,584
merged_way/29252734-220+1,DE36-220,way/24262656-220,983.112,157,420
way/232071584-220,way/33042984-220,DE36-220,491.556,157,580
way/114377991-220,way/114319248-220,DE37-220,1474.668,158,274
merged_way/190815004-220+1,way/29472852-220,DE37-220,983.112,158,536
merged_way/114377984-2-220+4,DE37-220,way/37764852-220,491.556,158,597
way/760912582-1-220,DE42-220,DE38-220,491.556,159,164
way/33548105-1-220,way/37764852-220,DE38-220,983.112,159,597
merged_way/40162573-1-220+4,DE39-220,way/29472852-220,491.556,160,536
merged_way/111963058-3-220+7,way/42861703-220,DE39-220,491.556,160,636
merged_way/781632468-3-220+3,DE39-220,way/61918154-220,491.556,160,685
relation/943999-220,way/27124619-220,DE4-220,491.556,161,497
merged_way/953757611-220+3,DE40-220,DE43-220,983.112,162,165
way/23707819-220-a,way/274621059-220,DE40-220,983.112,162,501
way/1216922903-220,way/953757608-220,DE40-220,983.112,162,782
way/741770435-380,DE45-380,DE41-380,5094.308,163,167
merged_way/38139845-380+2,DE41-380,way/796306640-380,3396.205,163,708
way/231965957-220_way/30018713-220,DE43-220,way/28227099-220,1474.668,165,514
way/231006629-220,way/30017786-220,DE43-220,983.112,165,539
Planned_AC_380_28_relation/3883857-380,way/26474759-380,DE44-380,3698.103,166,491
merged_way/111963058-380+2,DE53-380,DE45-380,3396.205,167,175
way/172819236-380,DE46-380,way/414169327-380,3396.205,168,616
way/156960657-380,DE46-380,way/52983550-380,3396.205,168,665
way/156960646-380,way/941198517-380,DE46-380,3396.205,168,761
relation/13073144-220,DE47-220,way/26472665-220,491.556,169,489
Planned_HVDC_SuedOstLink0,way/26472665-380,DE47-220,2000,169,490
Planned_HVDC_SuedOstLink1,DE47-220,way/943939310-380,2000,169,769
way/151469596-380,DE49-380,way/23899043-380,3396.205,170,413
relation/1633120-380_way/151469597-380,way/24413992-380,DE49-380,5094.308,170,427
relation/1636750-380,DE5-380,way/32063539-380,1698.103,171,565
DE-SE,DE5-380,Sweden,1000,171,833
way/60725324-1-380,way/29077623-380,DE50-380,1698.103,172,527
merged_way/844115029-1-380+1,DE50-380,way/979801144-380,3396.205,172,795
way/24605510-220,way/28397771-220,DE51-220,983.112,173,517
way/27691050-220,DE51-220,way/288305056-220,983.112,173,522
way/33168244-220,DE51-220,way/957746797-220,983.112,173,789
relation/14514411-220_relation/3888202-220-b,way/28397771-220,DE52-220,983.112,174,517
Planned_AC_380Luestringen_Hesseln,way/37764852-220,DE52-220,2000,174,597
way/111499706-380,way/25506770-380,DE53-380,3396.205,175,473
merged_way/118904273-380+1,way/42861703-380,DE53-380,3396.205,175,637
Planned_HVDC_NordSued_parellel_6,DE54-380,way/796306640-380,2000,176,708
Planned_HVDC_NordSued_parellel_5_way/844075807-1-380,way/844075808-380,DE54-380,5396.205,176,719
way/61649945-220,DE59-220,DE55-220,983.112,177,181
way/296751942-220,DE55-220,way/30109913-220,983.112,177,543
way/28215364-220,way/699048438-220,DE55-220,983.112,177,698
merged_way/118436919-380+1,DE61-380,DE56-380,3396.205,178,184
way/42861709-1-380,DE56-380,way/42861703-380,1698.103,178,637
Planned_HVDC _525Hanover_Erzhausen,way/23682013-220,DE57-380,2000,179,409
merged_way/953738997-1-380+2,way/810315511-380,DE57-380,3396.205,179,711
