demand_north,demand_south
4556.0,4556.0
4530.0,4530.0
4491.2,4491.2
4482.8,4482.8
4453.2,4453.2
4436.8,4436.8
4436.8,4436.8
4424.0,4424.0
4427.2,4427.2
4402.4,4402.4
4438.0,4438.0
4428.0,4428.0
4431.6,4431.6
4406.8,4406.8
4371.6,4371.6
4356.0,4356.0
4323.6,4323.6
4317.6,4317.6
4334.0,4334.0
4386.8,4386.8
4456.4,4456.4
4502.0,4502.0
4586.8,4586.8
4665.2,4665.2
4794.0,4794.0
4871.6,4871.6
4980.8,4980.8
5046.0,5046.0
5192.8,5192.8
5292.8,5292.8
5396.4,5396.4
5482.4,5482.4
5544.0,5544.0
5616.4,5616.4
5700.4,5700.4
5774.8,5774.8
5884.8,5884.8
5955.2,5955.2
6010.4,6010.4
6035.2,6035.2
6014.8,6014.8
5998.4,5998.4
5978.8,5978.8
5944.8,5944.8
5926.0,5926.0
5882.0,5882.0
5880.8,5880.8
5832.0,5832.0
5811.2,5811.2
5801.2,5801.2
5790.4,5790.4
5761.6,5761.6
5772.0,5772.0
5744.0,5744.0
5736.4,5736.4
5744.0,5744.0
5777.6,5777.6
5809.6,5809.6
5866.4,5866.4
5925.6,5925.6
6045.2,6045.2
6098.0,6098.0
6148.4,6148.4
6204.0,6204.0
6244.0,6244.0
6215.2,6215.2
6208.0,6208.0
6176.4,6176.4
6139.6,6139.6
6084.4,6084.4
6043.2,6043.2
5991.6,5991.6
5901.2,5901.2
5805.2,5805.2
5740.4,5740.4
5695.2,5695.2
5680.8,5680.8
5642.4,5642.4
5613.6,5613.6
5615.2,5615.2
5684.0,5684.0
5636.0,5636.0
5583.2,5583.2
5526.4,5526.4
5456.8,5456.8
5384.4,5384.4
5322.4,5322.4
5222.8,5222.8
5153.6,5153.6
5114.4,5114.4
5068.0,5068.0
5004.4,5004.4
4903.6,4903.6
4876.8,4876.8
4861.6,4861.6
4840.8,4840.8
4809.2,4809.2
4785.6,4785.6
4780.0,4780.0
4847.2,4847.2
4839.2,4839.2
4846.4,4846.4
4862.8,4862.8
4885.2,4885.2
4942.8,4942.8
4994.4,4994.4
5053.6,5053.6
5127.2,5127.2
5311.2,5311.2
5382.4,5382.4
5506.0,5506.0
5676.8,5676.8
5999.6,5999.6
6237.6,6237.6
6412.8,6412.8
6607.2,6607.2
6840.8,6840.8
6954.4,6954.4
7052.4,7052.4
7140.8,7140.8
7214.0,7214.0
7251.6,7251.6
7266.4,7266.4
7287.2,7287.2
7207.2,7207.2
7256.0,7256.0
7299.6,7299.6
7314.0,7314.0
7290.4,7290.4
7302.8,7302.8
7299.6,7299.6
7321.6,7321.6
7356.4,7356.4
7362.8,7362.8
7405.6,7405.6
7414.0,7414.0
7376.4,7376.4
7350.4,7350.4
7366.0,7366.0
7371.2,7371.2
7398.8,7398.8
7384.0,7384.0
7361.6,7361.6
