datetime,demand_EOM,demand_CRM_pos,demand_CRM_neg
2/12/2021 12:00,70832,2898,2708
2/12/2021 12:15,70392,2898,2708
2/12/2021 12:30,69776,2898,2708
2/12/2021 12:45,68780,2898,2708
2/12/2021 13:00,68984,2898,2708
2/12/2021 13:15,68920,2898,2708
2/12/2021 13:30,68832,2898,2708
2/12/2021 13:45,68572,2898,2708
2/12/2021 14:00,68432,2898,2708
2/12/2021 14:15,68080,2898,2708
2/12/2021 14:30,67608,2898,2708
2/12/2021 14:45,66896,2898,2708
2/12/2021 15:00,66224,2898,2708
2/12/2021 15:15,66108,2898,2708
2/12/2021 15:30,66052,2898,2708
2/12/2021 15:45,65812,2898,2708
2/12/2021 16:00,66324,2898,2708
2/12/2021 16:15,66668,2898,2708
2/12/2021 16:30,66664,2898,2708
2/12/2021 16:45,66264,2898,2708
2/12/2021 17:00,66184,2898,2708
2/12/2021 17:15,66048,2898,2708
2/12/2021 17:30,65904,2898,2708
2/12/2021 17:45,65896,2898,2708
2/12/2021 18:00,66164,2898,2708
2/12/2021 18:15,65688,2898,2708
2/12/2021 18:30,65400,2898,2708
2/12/2021 18:45,65168,2898,2708
2/12/2021 19:00,64884,2898,2708
2/12/2021 19:15,65012,2898,2708
2/12/2021 19:30,65032,2898,2708
2/12/2021 19:45,64676,2898,2708
2/12/2021 20:00,64120,2898,2708
2/12/2021 20:15,62980,2898,2708
2/12/2021 20:30,62024,2898,2708
2/12/2021 20:45,61332,2898,2708
2/12/2021 21:00,61348,2898,2708
2/12/2021 21:15,60832,2898,2708
2/12/2021 21:30,59892,2898,2708
2/12/2021 21:45,58880,2898,2708
2/12/2021 22:00,57764,2898,2708
2/12/2021 22:15,56824,2898,2708
2/12/2021 22:30,55876,2898,2708
2/12/2021 22:45,55560,2898,2708
2/12/2021 23:00,54736,2898,2708
2/12/2021 23:15,54252,2898,2708
2/12/2021 23:30,53692,2898,2708
2/12/2021 23:45,53280,2898,2708
2/13/2021 0:00,52752,2898,2708
2/13/2021 0:15,52500,2898,2708
2/13/2021 0:30,52456,2898,2708
2/13/2021 0:45,52084,2898,2708
2/13/2021 1:00,51848,2898,2708
2/13/2021 1:15,51712,2898,2708
2/13/2021 1:30,51728,2898,2708
2/13/2021 1:45,51624,2898,2708
2/13/2021 2:00,51908,2898,2708
2/13/2021 2:15,51996,2898,2708
2/13/2021 2:30,52220,2898,2708
2/13/2021 2:45,52548,2898,2708
2/13/2021 3:00,53056,2898,2708
2/13/2021 3:15,53308,2898,2708
2/13/2021 3:30,53684,2898,2708
2/13/2021 3:45,54176,2898,2708
2/13/2021 4:00,55720,2898,2708
2/13/2021 4:15,56236,2898,2708
2/13/2021 4:30,57568,2898,2708
2/13/2021 4:45,58580,2898,2708
2/13/2021 5:00,61068,2898,2708
2/13/2021 5:15,62504,2898,2708
