datetime,price_EOM,price_EOM_flex,lime_co2_factor,lime_price,co2_price,grinder_availability_profile,clinker_availability_profile,fuel_price_natural_gas,target_profile,opt_power
1/13/2021 0:00,124.5,121.07,0.1,15,85,1,1,20,5.521340455,0
1/13/2021 1:00,124.5,121.2,0.1,15,85,1,1,20,5.521340455,0.6701
1/13/2021 2:00,124.5,121.6,0.1,15,85,1,1,20,5.521340455,0.6701
1/13/2021 3:00,124.5,121.6,0.1,15,85,1,1,20,5.521340455,0
1/13/2021 4:00,124.5,121.07,0.1,15,85,1,1,20,5.521340455,0.6701
1/13/2021 5:00,124.5,121.2,0.1,15,85,1,1,20,5.521340455,1.3402
1/13/2021 6:00,124.5,129.28,0.1,15,85,1,1,20,5.61677955,0.6701
1/13/2021 7:00,124.5,149.36,0.1,15,85,1,1,20,5.67676187,0
1/13/2021 8:00,124.5,135.56,0.1,15,85,1,1,20,5.75673829,0
1/13/2021 9:00,124.5,130.76,0.1,15,85,1,1,20,5.75673829,0.6701
1/13/2021 10:00,124.5,126.47,0.1,15,85,1,1,20,5.75673829,1.3402
1/13/2021 11:00,124.5,126.13,0.1,15,85,1,1,20,5.75673829,2.0103
1/13/2021 12:00,124.5,121.6,0.1,15,85,1,1,20,5.75673829,2.6804
1/13/2021 13:00,124.5,118.43,0.1,15,85,1,1,20,5.75673829,3.3505
1/13/2021 14:00,124.5,118.24,0.1,15,85,1,1,20,5.67676187,4.0206
1/13/2021 15:00,124.5,119.03,0.1,15,85,1,1,20,5.61677955,4.6907
1/13/2021 16:00,124.5,119.76,0.1,15,85,1,1,20,5.55679724,5.3608
1/13/2021 17:00,124.5,124.28,0.1,15,85,1,1,20,5.55679724,6.0309
1/13/2021 18:00,124.5,130.76,0.1,15,85,1,1,20,5.55679724,6.701
1/13/2021 19:00,124.5,132.6,0.1,15,85,1,1,20,5.55679724,6.958730769
1/13/2021 20:00,124.5,126.47,0.1,15,85,1,1,20,5.55679724,6.958730769
1/13/2021 21:00,124.5,121.6,0.1,15,85,1,1,20,5.55679724,6.958730769
1/13/2021 22:00,124.5,121.6,0.1,15,85,1,1,20,5.521340455,6.958730769
1/13/2021 23:00,124.5,118.24,0.1,15,85,1,1,20,5.521340455,6.958730769
